iter	Passed	Remaining
646	43580	23777
647	43635	23703
648	43690	23629
649	43744	23554
650	43799	23481
651	43854	23407
652	43912	23335
653	43967	23260
654	44024	23188
655	44079	23114
656	44135	23041
657	44190	22968
658	44247	22895
659	44319	22831
660	44380	22760
661	44436	22688
662	44491	22614
663	44546	22541
664	44602	22468
665	44659	22396
666	44713	22323
667	44767	22249
668	44821	22176
669	44876	22103
670	44933	22031
671	44987	21958
672	45043	21886
673	45099	21813
674	45154	21741
675	45207	21667
676	45266	21597
677	45326	21526
678	45401	21463
679	45457	21391
680	45514	21320
681	45569	21248
682	45625	21176
683	45680	21103
684	45736	21032
685	45792	20960
686	45859	20894
687	45930	20829
688	45996	20761
689	46064	20695
690	46119	20623
691	46177	20552
692	46245	20486
693	46301	20415
694	46359	20344
695	46436	20282
696	46495	20212
697	46554	20142
698	46612	20072
699	46670	20001
700	46728	19931
701	46786	19860
702	46843	19790
703	46905	19721
704	46964	19651
705	47022	19581
706	47079	19510
707	47137	19440
708	47194	19370
709	47254	19300
710	47313	19231
711	47377	19163
712	47448	19099
713	47515	19032
714	47568	18960
715	47624	18889
716	47679	18819
717	47736	18748
718	47790	18677
719	47846	18606
720	47904	18537
721	47960	18466
722	48015	18396
723	48071	18325
724	48126	18255
725	48183	18184
726	48239	18114
727	48297	18045
728	48353	17975
729	48408	17904
730	48465	17834
731	48537	17770
732	48593	17700
733	48647	17629
734	48702	17559
735	48759	17489
736	48813	17419
737	48868	17348
738	48926	17279
739	48985	17210
740	49040	17141
741	49100	17072
742	49159	17003
743	49215	16934
744	49274	16865
745	49329	16795
746	49384	16725
747	49440	16656
748	49495	16586
749	49570	16523
750	49625	16453
751	49681	16384
752	49737	16314
753	49791	16245
754	49846	16175
755	49923	16112
756	50022	16057
757	50127	16003
758	50230	15949
759	50338	15896
760	50435	15839
761	50538	15784
762	50645	15731
763	50751	15677
764	50857	15622
765	50965	15569
766	51073	15515
767	51173	15458
768	51275	15402
769	51375	15345
770	51477	15289
771	51575	15232
772	51686	15178
773	51789	15121
774	51890	15065
775	51990	15007
776	52087	14949
777	52194	14893
778	52302	14838
779	52402	14780
780	52502	14722
781	52605	14664
782	52709	14607
783	52820	14552
784	52915	14492
785	53019	14435
786	53090	14368
787	53146	14298
788	53208	14229
789	53267	14159
790	53322	14089
791	53377	14018
792	53431	13947
793	53504	13881
794	53570	13813
795	53624	13743
796	53678	13672
797	53740	13603
798	53808	13536
799	53870	13467
800	53929	13398
801	53987	13328
802	54042	13258
803	54098	13188
804	54156	13118
805	54212	13048
806	54268	12978
807	54324	12908
808	54379	12838
809	54437	12769
810	54492	12699
811	54548	12629
812	54603	12559
813	54659	12489
814	54713	12419
815	54768	12349
816	54828	12281
817	54900	12215
818	54959	12146
819	55014	12076
820	55068	12006
821	55124	11936
822	55180	11867
823	55238	11798
824	55294	11729
825	55351	11659
826	55409	11591
827	55464	11521
828	55520	11452
829	55573	11382
830	55630	11313
831	55685	11244
832	55742	11175
833	55799	11106
834	55855	11037
835	55928	10971
836	55987	10903
837	56042	10833
838	56098	10765
839	56157	10696
840	56213	10627
841	56271	10559
842	56327	10490
843	56383	10421
844	56440	10352
845	56497	10284
846	56552	10215
847	56609	10147
848	56669	10079
849	56726	10010
850	56782	9941
851	56837	9873
852	56894	9804
853	56973	9740
854	57028	9671
855	57084	9602
856	57139	9534
857	57195	9465
858	57253	9397
859	57308	9329
860	57362	9260
861	57417	9192
862	57471	9123
863	57525	9054
864	57579	8986
865	57633	8917
866	57688	8849
867	57743	8781
868	57799	8713
869	57860	8645
870	57916	8577
871	57982	8511
872	58052	8445
873	58107	8377
874	58165	8309
875	58222	8241
876	58278	8173
877	58333	8105
878	58389	8037
879	58443	7969
880	58497	7901
881	58551	7833
882	58607	7765
883	58663	7697
884	58718	7630
885	58772	7562
886	58827	7494
887	58883	7426
888	58938	7359
889	58998	7291
890	59073	7226
891	59130	7159
892	59186	7091
893	59244	7024
894	59300	6957
895	59354	6889
896	59410	6821
897	59466	6754
898	59520	6686
899	59575	6619
900	59629	6551
901	59685	6484
902	59740	6417
903	59798	6350
904	59854	6283
905	59911	6215
906	59970	6149
907	60026	6082
908	60092	6015
909	60159	5949
910	60219	5883
911	60276	5816
912	60330	5748
913	60388	5682
914	60444	5615
915	60500	5548
916	60554	5480
917	60609	5413
918	60664	5346
919	60719	5279
920	60773	5212
921	60828	5146
922	60885	5079
923	60940	5012
924	60999	4945
925	61055	4879
926	61111	4812
927	61189	4747
928	61247	4680
929	61303	4614
930	61359	4547
931	61413	4480
932	61468	4414
933	61523	4347
934	61577	4280
935	61633	4214
936	61688	4147
937	61744	4081
938	61799	4014
939	61854	3948
940	61910	3881
941	61967	3815
942	62024	3749
943	62079	3682
944	62133	3616
945	62198	3550
946	62266	3484
947	62323	3418
948	62380	3352
949	62434	3286
950	62490	3219
951	62545	3153
952	62606	3087
953	62660	3021
954	62716	2955
955	62771	2889
956	62827	2822
957	62882	2756
958	62936	2690
959	62995	2624
960	63070	2559
961	63175	2495
962	63286	2431
963	63395	2367
964	63506	2303
965	63607	2238
966	63710	2174
967	63817	2109
968	63926	2045
969	64033	1980
970	64142	1915
971	64253	1850
972	64366	1786
973	64466	1720
974	64567	1655
975	64666	1590
976	64762	1524
977	64862	1459
978	64963	1393
979	65066	1327
980	65172	1262
981	65276	1196
982	65374	1130
983	65485	1064
984	65584	998
985	65681	932
986	65786	866
987	65890	800
988	65991	733
989	66096	667
990	66206	601
991	66269	534
992	66323	467
993	66380	400
994	66437	333
995	66492	267
996	66567	200
997	66624	133
998	66681	66
999	66737	0
